鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,建案名稱_build case,棟及號_buildings,來源資料夾_,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.7,其他,Unnamed: 5,Unnamed: 6,1120531,土地3建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,Unnamed: 14,90.2,3,2,2.1,有,無,6160000,68293,Unnamed: 23,0.0,0,Unnamed: 26,RPPNMLLMNHIGFAW66CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C32F棟14號,Unnamed: 30,來源資料夾,38.43,1120820,94.46,6600000,69871,RPPNMLLLQHIGFAW86CB,C12F棟16號
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段876地號,31.02,其他,,,1111209.0,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.93,2.0,2.0,2.0,有,無,4506600.0,63536.0,,0.0,0.0,,RPPNMLPKKIHGFAW56CB,光前首澤,C棟0號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段876地號,44.43,其他,,,1111211.0,土地1建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.66,3.0,2.0,2.0,有,無,6400000.0,62955.0,,0.0,0.0,,RPPNMLSLKIHGFAW96CB,光前首澤,C棟0號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.77,其他,,,1120117.0,土地3建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.39,3.0,2.0,2.0,有,無,7080000.0,74222.0,,0.0,0.0,含法定車位約定車位編號4號,RPPNMLPKKHIGFAW56CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C24F棟7號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.82,其他,,,1120117.0,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.49,3.0,2.0,2.0,有,無,6500000.0,71831.0,,0.0,0.0,含法定車位約定車位編號2號,RPQNMLPKKHIGFAW66CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C43F棟2號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.7,其他,,,1120117.0,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.2,3.0,2.0,2.0,有,無,6500000.0,72062.0,,0.0,0.0,含法定車位約定車位編號1號,RPRNMLPKKHIGFAW76CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C33F棟1號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.7,其他,,,1120118.0,土地3建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.2,3.0,2.0,2.0,有,無,6980000.0,77384.0,,0.0,0.0,含法定車位約定車位編號6號,RPSNMLPKKHIGFAW86CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C35F棟4號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.82,其他,,,1120119.0,土地3建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.49,3.0,2.0,2.0,有,無,6960000.0,76915.0,,0.0,0.0,含法定車位約定車位編號3號,RPPNMLQKKHIGFAW66CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C45F棟5號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.82,其他,,,1120127.0,土地3建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.39,3.0,2.0,2.0,有,無,7200000.0,75480.0,,0.0,0.0,含法定車位約定車位編號5號,RPQNMLQKKHIGFAW76CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C25F棟8號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.43,其他,,,1120204.0,土地3建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.46,3.0,2.0,2.0,有,無,7200000.0,76223.0,,0.0,0.0,含法定車位約定車位編號7號,RPRNMLQKKHIGFAW86CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C15F棟3號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.43,其他,,,1120204.0,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.46,3.0,2.0,2.0,有,無,6660000.0,70506.0,,0.0,0.0,,RPSNMLQKKHIGFAW96CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C13F棟6號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.82,其他,,,1120204.0,土地3建物1車位0,三層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.39,3.0,2.0,2.0,有,無,6700000.0,70238.0,,0.0,0.0,,RPTNMLQKKHIGFAW07CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C23F棟10號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段,44.43,住,,,1120209.0,土地1建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.66,3.0,2.0,2.0,有,無,6300000.0,61971.0,,0.0,0.0,,RPSNMLNLKHIGFAW76CB,光前首澤,C1棟0號,112_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段,44.43,住,,,1120222.0,土地1建物1車位0,五層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.66,3.0,2.0,2.0,有,無,6680000.0,65709.0,,0.0,0.0,,RPTNMLNLKHIGFAW86CB,光前首澤,C1棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段,44.43,其他,,,1120306.0,土地1建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,67.19,2.0,2.0,2.0,有,無,5700000.0,84834.0,,0.0,0.0,,RPPNMLTJLHIGFAW96CB,光前首澤,C2棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.43,其他,,,1120310.0,土地3建物1車位0,四層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.46,3.0,2.0,2.0,有,無,6660000.0,70506.0,,0.0,0.0,,RPPNMLOKLHIGFAW56CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C14F棟11號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段,31.02,其他,,,1120305.0,土地1建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,70.93,2.0,2.0,2.0,有,無,4300000.0,60623.0,,0.0,0.0,,RPPNMLLMLHIGFAW09CB,光前首澤,C2棟0號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮塔后段965地號、湖前段653-5地號,71.04,其他,,,1120315.0,土地1建物1車位1,全,3.0,透天厝,住家用,鋼筋混凝土造,,165.43,3.0,2.0,3.0,有,無,11450000.0,69214.0,一樓平面,0.0,0.0,,RPPNMLNKMHIGFAW56CB,金湖印象,A棟3號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,26.95,其他,,,1120426.0,土地3建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,66.25,2.0,2.0,1.0,有,無,4950000.0,74717.0,,0.0,0.0,,RPPNMLRLMHIGFAW07CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C21F棟13號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,36.42,其他,,,1120501.0,土地3建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,89.52,3.0,2.0,2.0,有,無,6700000.0,74844.0,,0.0,0.0,,RPPNMLMJNHIGFAW09CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C41F棟12號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金湖鎮,房地(土地+建物),金門縣金湖鎮羅劃測段200，201地號,108.98,住,,,1120422.0,土地2建物1車位0,全,3.0,透天厝,住家用,鋼筋混凝土造,,213.98,4.0,1.0,5.0,有,無,11133560.0,52031.0,,0.0,0.0,,RPPNMLLKNHIGFAW09CB,陽光寬庭,B棟02號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金湖鎮,房地(土地+建物)+車位,金門縣金湖鎮塔后段965地號、湖前段653-5地號,70.6,其他,,,1120510.0,土地2建物1車位1,全,3.0,透天厝,住家用,鋼筋混凝土造,,164.0,3.0,2.0,3.0,有,無,11900000.0,72561.0,一樓平面,0.0,0.0,,RPPNMLQKNHIGFAW96CB,金湖印象,B棟1號,112_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉盤山村測段190、190-2、188-6地號,38.82,其他,,,1120604.0,土地3建物1車位0,二層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,95.39,3.0,2.0,2.0,有,無,6680000.0,70028.0,,0.0,0.0,,RPPNMLQJOHIGFAW96CB,金門縣金寧鄉盤山村測段190、190-2、188-6地號集合住宅新建工程,C22F棟15號,,112_03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金寧鄉,房地(土地+建物),金門縣金寧鄉安西劃段,44.43,其他,,,1120609.0,土地1建物1車位0,一層,5.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.66,3.0,2.0,2.0,有,無,8380000.0,82432.0,,0.0,0.0,,RPPNMLLLOHIGFAW66CB,光前首澤,C1棟0號,,112_03,,,,,,,
